Potable - Optima,FLUO mayor o igual a 0.7 y menor de 1.5,Agua potable. Agua no contaminada o condicion normal
Media,FLUO mayor o igual a 0.4 y menor de 0.7,Agua con nivel medio de fluoruros
Baja,FLUO mayor o igual a 0 y menor de 0.4,Agua con bajo contenido de fluoruros
Alta,FLUO mayor o igual a 1.5,Agua no apta como fuente de abastecimiento de agua potable
CALIDAD DEL AGUA PARA HIERRO,CRITERIO,DESCRIPCION
Potable - Excelente,FE menor o igual a 0.3,Agua potable. Agua no contaminada o condicion normal
Sin efectos en la salud - Puede dar color al agua,FE mayor de 0.3,Sin efectos en la salud - Puede dar color al agua
CALIDAD DEL AGUA PARA DUREZA,CRITERIO,DESCRIPCION
Potable - Suave,DUR menor o igual a 60,Agua potable. Bajo contenido de minerales
Potable - Moderadamente suave,DUR mayor de 60 y menor o igual a 120,Agua potable. Moderado contenido de minerales
Potable - Dura,DUR mayor de 120 y menor o igual a 500,"Agua potable. Alto contenido de minerales, principalmente sales de calcio? y magnesio"
Muy dura e indeseable usos industrial y domestico,DUR mayor de 500,Agua no apta como fuente de abastecimiento de agua potable. Muy dura e indeseable usos industrial y domestico
